privada	aplicaciones	ingresantes	estudiantes	top10	cuota	prof_dr	razon	tasa_grad
Si	4.186	0.74	2.819	48	19.38	90	9.8	84
Si	0.367	0.158	0.917	12	9.592	71	13.7	49
Si	1.436	1.202	1.32	10	4.371	62	12.6	18
Si	0.392	0.155	0.738	16	10.26	39	13.1	58
Si	0.838	0.292	0.881	22	10.265	68	13.2	82
Si	7.365	4.615	27.378	48	2.34	76	20.5	33
Si	12.586	1.462	5.643	87	19.528	99	7.6	97
Si	1.465	0.313	1.088	71	18.165	100	12.3	89
Si	6.548	0.862	3.316	49	18.55	95	14.2	93
Si	0.86	0.285	1.928	32	13.306	62	8.8	78
Si	2.362	0.7	2.607	40	13.13	77	10.9	83
Si	0.599	0.224	1.035	8	10.518	59	16.5	71
Si	1.011	0.213	0.693	17	8.9	87	13.9	55
Si	0.563	0.247	1.427	23	12.95	72	12.4	60
No	7.811	1.65	12.911	47	7.38	72	19.8	59
No	4.54	1.483	13.494	5	7.706	90	21.2	61
Si	1.784	0.913	3.401	29	10.23	75	14.8	81
Si	2.087	0.657	3.191	20	7.55	77	21.8	63
Si	0.848	0.298	0.935	25	6.06	62	17.7	49
Si	2.853	0.753	2.978	16	10.75	90	14.6	64
Si	1.747	0.449	1.662	34	13.05	64	12.1	83
Si	0.1	0.035	0.282	10	8.4	10	12.1	52
Si	2.694	0.489	1.87	75	19.292	81	10.4	91
Si	8.728	1.191	4.265	60	17.9	86	9.2	74
Si	1.16	0.352	1.357	19	12.2	74	17.8	79
Si	1.096	0.464	1.776	27	8.15	61	13.6	67
Si	1.616	0.434	1.405	20	13.125	74	15.9	62
Si	3.877	0.713	3.051	71	15.7	95	2.9	67
No	1.257	0.363	1.547	9	7.656	89	14.7	79
Si	1.083	0.291	0.915	13	9.27	75	13.5	55
Si	1.754	0.505	2.159	24	13.712	90	9.3	75
Si	3.847	0.527	1.01	9	9.384	22	14.3	100
Si	0.776	0.198	0.791	25	14.34	58	11.7	74
Si	1.307	0.616	2.196	25	7.344	50	15.3	64
Si	0.369	0.09	0.396	12	11.4	41	9.5	24
Si	0.495	0.21	0.775	35	8.95	86	11.3	66
Si	0.601	0.203	0.525	1	11.23	8	6.8	47
Si	1.283	0.401	1.355	31	10.938	76	13.5	67
No	4.158	0.902	6.394	6	5.962	69	16.7	49
No	4.681	1.436	8.094	10	4.62	69	19.7	50
No	2.785	1.007	6.507	8	7.242	67	18.1	51
Si	0.174	0.088	1.047	8	8.3	62	15.2	58
Si	1.013	0.288	0.943	55	11.85	95	11.4	74
Si	0.959	0.351	1.662	23	16.624	72	12.8	47
Si	0.212	0.091	0.471	28	13.5	95	9.3	52
Si	0.342	0.126	0.518	25	10.335	71	8.3	73
Si	0.081	0.051	0.139	33	8.73	92	9.3	58
Si	0.88	0.224	1.068	16	9.3	81	11.1	63
No	0.883	0.428	2.91	3	7.86	80	21.2	48
Si	1.196	0.499	0.959	21	4.412	69	16.9	21
Si	1.86	0.227	0.887	71	17	99	9.6	87
Si	2.887	0.457	1.928	30	17.5	94	10.5	79
Si	0.46	0.167	0.604	14	10.74	67	11	74
Si	2.174	0.557	2.332	35	15.96	95	15.8	77
No	8.065	2.301	11.755	37	8.116	82	18	73
No	0.689	0.25	1.125	15	7.168	67	18.1	46
Si	1.006	0.275	1.127	29	13.925	73	12.7	67
Si	0.604	0.295	0.69	15	9.888	64	12.1	75
Si	2.848	0.456	1.72	58	18.93	83	10.2	91
Si	4.856	0.727	2.649	46	19.51	95	10.5	93
Si	1.432	0.317	1.121	29	10.86	56	12.9	96
No	4.772	1.265	6.851	22	6.12	73	17.2	51
Si	0.798	0.238	1.165	14	9.8	46	11.1	100
Si	0.946	0.177	0.707	23	11.79	75	11.9	83
Si	0.344	0.097	0.5	11	12.6	77	10.4	43
Si	0.457	0.177	0.667	35	11.18	64	11.5	75
Si	0.938	0.511	1.715	29	12.247	70	13.1	72
Si	0.511	0.186	1.692	23	12.224	63	11.5	77
Si	0.444	0.122	0.493	34	10.9	68	11.4	78
Si	0.983	0.249	1.698	23	9.99	66	14.3	64
Si	0.546	0.189	0.873	16	11.138	40	14	80
Si	0.141	0.055	0.201	12	8.3	53	9.5	76
Si	0.672	0.278	1.35	29	11.844	54	11.6	72
Si	2.994	0.659	2.675	70	18	92	11.3	95
No	7.117	1.217	5.186	68	11.72	89	12.1	93
Si	2.1	0.553	1.704	29	16.24	84	11.1	69
Si	3.207	0.49	1.892	56	17.142	85	11.3	84
No	9.478	2.194	15.646	29	8.412	87	19.2	59
Si	0.314	0.132	0.69	10	8.294	87	15.3	37
Si	0.737	0.242	0.968	21	10.425	61	14.7	76
Si	6.756	0.871	3.376	78	18.624	97	5.9	99
Si	0.281	0.139	1.049	13	10.5	69	12.8	45
Si	0.232	0.106	0.534	16	6.9	67	12.1	42
Si	0.688	0.144	0.641	30	10.8	55	13.1	55
Si	0.528	0.186	1.168	22	9.216	56	12.1	75
Si	3.035	0.438	1.63	42	18.74	86	10.7	91
Si	0.44	0.149	0.643	35	12.05	63	10.2	75
Si	1.538	0.383	1.14	33	15.248	71	12.2	64
Si	2.967	0.876	3.45	30	10.628	85	6.5	85
Si	1.576	0.274	0.992	24	8	51	14.1	51
Si	0.995	0.398	1.306	26	6.23	42	13	63
Si	0.866	0.157	1.074	18	8.92	68	14.6	46
Si	0.504	0.185	0.55	10	9.13	46	12.6	54
Si	0.585	0.153	0.46	12	12.292	61	22.2	72
Si	8.587	1.087	3.918	87	19.545	95	4.7	98
Si	2.373	0.452	1.601	77	17.295	95	12	94
Si	0.571	0.174	0.645	10	10.85	58	12.8	56
No	0.967	0.459	2.806	15	4.528	49	17.1	58
Si	2.762	0.533	1.835	32	16.9	88	11.6	81
Si	1.994	0.495	1.983	50	14.3	78	11.1	82
Si	3.014	0.487	1.889	31	18.7	87	11.2	87
No	0.434	0.319	1.376	10	4.486	50	16.5	46
Si	1.998	0.651	1.539	41	6.7	52	14.1	61
Si	0.793	0.244	1.022	20	9.57	67	15.1	60
Si	0.36	0.108	0.756	4	8.31	43	12.7	54
Si	0.604	0.328	1.048	25	9.8	61	12.5	87
Si	1.011	0.41	1.059	9	9	77	12.4	42
Si	2.799	0.839	3.322	34	13.42	88	15	77
Si	2.153	0.321	1.192	56	18.432	93	10.2	83
Si	0.7	0.314	1.065	33	8.73	82	13.2	67
Si	13.789	1.583	6.188	90	18.59	95	5	97
Si	1.358	0.274	1.028	35	15.036	90	10.6	78
No	9.274	2.435	13.171	14	7.248	74	13.2	58
No	3.33	1.303	6.706	15	5.8	73	14	42
Si	0.379	0.265	1.05	10	4.95	62	15.7	38
Si	0.458	0.165	1.057	16	11.19	60	13.6	54
No	2.172	0.564	2.766	14	5.962	71	16.9	50
No	5.597	1.565	9.161	12	5.71	62	16.2	76
Si	0.486	0.227	0.903	19	9.65	46	11.4	82
Si	0.516	0.2	1.238	17	8.77	58	17.3	70
Si	1.422	0.366	1.363	33	15.36	82	12.8	59
Si	2.417	0.426	1.476	36	14.19	65	12.8	81
Si	1.457	0.345	1.109	27	14.99	77	21.5	64
Si	0.245	0.125	0.544	23	11.8	71	11.3	86
Si	3.624	0.858	2.933	11	9.1	70	18.9	63
Si	3.151	0.958	4.772	14	7.8	37	16.5	44
Si	0.765	0.226	0.809	30	8.578	79	13.9	82
Si	8.506	1.236	5.544	76	17.6	97	5	96
No	1.256	0.853	3.957	43	5.401	72	19.3	50
Si	0.659	0.167	0.532	47	10.485	76	13.5	67
Si	0.56	0.113	0.484	36	10.955	62	10.6	53
No	1.801	0.438	3.065	14	6.297	75	18.1	68
Si	4.784	0.781	2.984	30	15	86	15.1	94
No	1.455	0.452	2.632	1	6.806	75	15.1	24
Si	1.339	0.336	1.051	12	9.4	53	12.5	22
Si	1.415	0.338	1.345	18	5.12	52	18.1	69
Si	1.947	0.523	1.863	39	13.9	90	10.6	57
No	3.306	1.071	10.208	42	6.597	81	13.9	66
Si	1.381	0.374	1.506	20	8.025	65	17.4	68
No	11.651	3.023	18.906	50	6.68	80	23.1	58
Si	0.291	0.126	0.981	16	8.39	45	21.5	62
Si	4.2	0.942	4.74	30	14.235	86	14.4	80
No	3.44	1.123	3.793	16	6.198	89	19.1	46
No	1.801	0.819	3.224	13	5.84	76	19.1	43
Si	0.553	0.228	1.301	22	9.65	57	14.9	83
Si	0.804	0.281	0.84	29	10.39	54	12.5	60
Si	5.187	0.446	1.818	3	13.32	50	17.6	51
Si	0.895	0.314	1.174	20	5.5	68	16.1	62
Si	0.346	0.146	0.704	51	9.9	59	10.5	54
Si	2.161	0.685	2.371	56	13.44	92	13.5	82
Si	2.464	0.678	2.693	24	10.97	47	13.3	65
Si	1.11	0.332	1.603	18	8.18	65	15.2	29
Si	0.668	0.237	1.306	19	9.476	67	20.1	74
Si	0.809	0.294	1.271	27	12.5	53	13.5	52
No	5.653	1.727	9.528	17	10.8	93	19.3	46
Si	7.875	1.492	5.471	38	17.45	92	7.6	72
Si	0.727	0.286	1.063	30	8.1	73	13.3	55
Si	11.115	1.39	5.881	71	18.3	91	7.2	95
No	7.837	2.276	8.528	89	6.489	92	19.3	70
No	3.793	1.238	7.732	9	6.744	87	19	34
Si	0.348	0.127	1.095	12	9.15	56	12.2	76
Si	3.596	0.575	1.944	42	19.964	94	12.1	83
Si	0.633	0.284	0.823	10	6.12	25	27.6	36
Si	1.886	0.526	2.523	31	13	78	14.7	69
Si	0.674	0.282	1.151	25	12.2	73	14.2	66
Si	0.44	0.221	0.91	26	9.42	51	9.9	72
Si	1.151	0.248	0.85	40	15.588	78	9.2	77
Si	0.548	0.167	0.618	18	8.958	53	15.3	64
Si	0.555	0.242	0.996	14	9.1	51	23.6	47
No	5.165	1.561	8.234	20	6.108	64	20.6	57
Si	0.78	0.198	0.545	7	11.75	77	14	76
Si	0.608	0.176	0.649	10	8.33	64	13	39
Si	0.51	0.194	0.771	20	10.31	57	14.3	60
Si	2.039	0.432	1.333	56	15.688	88	9.5	83
Si	2.491	0.573	2.213	57	5.224	65	18.4	100
Si	1.202	0.326	1.41	18	13.404	78	15.6	65
Si	1.709	0.634	2.281	36	14.125	79	12.5	80
Si	0.38	0.104	0.716	30	11	36	7.8	96
Si	3.14	0.454	1.646	40	19.7	91	9.6	91
Si	1.006	0.328	1.362	34	13.252	89	13	65
Si	0.817	0.307	0.945	20	13.218	95	13.3	69
Si	7.178	1.433	4.623	25	7.161	60	14	70
Si	1.006	0.317	1.024	33	8.2	84	10.6	64
Si	0.467	0.35	1.365	16	6.3	75	13.7	38
Si	1.721	0.806	3.128	35	5.504	71	17.7	73
Si	2.083	0.43	1.464	22	17.48	75	12.3	73
Si	13.865	1.606	6.862	90	18.485	97	9.9	100
Si	1.377	0.178	0.654	95	17.23	100	8.2	100
Si	0.817	0.262	0.935	22	9.376	57	13	52
Si	0.823	0.274	0.954	52	8.8	82	13.1	63
Si	0.92	0.347	1.133	35	11.09	80	12	79
Si	0.922	0.244	1	37	14.067	75	10.6	79
Si	2.688	0.5	1.792	25	19.029	99	12.1	79
Si	7.428	1.349	6.534	25	11.6	81	13.9	60
Si	0.602	0.215	0.795	26	13.47	78	11.1	72
Si	0.699	0.176	0.71	36	13.96	82	14.4	72
Si	1.712	0.624	2.505	37	12.275	72	12.5	72
Si	0.949	0.302	1.21	30	9.99	85	15	67
Si	0.608	0.127	0.538	26	8.08	63	11.4	44
Si	0.45	0.125	0.488	20	9.95	76	11.8	47
Si	0.6	0.124	0.392	3	7.26	31	12.9	21
Si	0.723	0.361	0.951	10	7.8	36	22	84
Si	0.607	0.269	1.222	22	10.5	81	11.6	75
Si	0.894	0.262	0.909	28	8.05	75	15.6	52
Si	1.756	0.478	1.911	42	14.55	80	12.3	56
No	8.681	2.408	15.701	10	7.799	77	21	54
Si	3.05	0.471	1.818	55	14.36	77	12.9	83
Si	0.268	0.103	0.494	16	10	56	11.2	69
Si	1.163	0.386	1.685	16	8.84	67	11.4	95
No	5.659	3.147	8.596	10	6.892	72	16.6	40
No	16.587	5.873	24.763	25	9.766	77	21.3	68
Si	0.735	0.366	2.448	20	9.21	49	39.8	34
Si	4.892	0.913	3.906	13	10.69	66	16	66
No	8.427	3.441	18.676	26	7.55	81	19.2	65
Si	7.259	1.368	5.612	23	14.424	58	11.5	75
No	11.223	2.082	9.652	32	7.994	77	17.9	98
Si	0.472	0.262	9.95	14	7.62	51	17	54
No	2.957	0.691	3.817	10	3.946	63	14.9	26
Si	0.605	0.284	0.961	24	6.398	68	13.3	75
Si	2.421	0.82	3.168	27	11.7	89	14.5	89
Si	8.474	0.911	3.566	75	18.8	96	3.3	90
No	0.833	0.279	1.224	3	7.656	80	14.4	36
Si	0.313	0.137	0.552	10	9.414	34	10.6	56
Si	1.005	0.298	1.075	36	14.85	97	12.7	80
No	5.88	2.833	14.914	25	6.995	76	18.5	54
Si	0.589	0.148	0.474	16	8.4	63	12.4	68
No	3.121	0.822	3.48	5	7.87	73	16.1	61
Si	0.584	0.175	0.662	20	8	57	11.3	62
Si	2.212	0.408	1.445	44	19.24	95	11.1	88
Si	0.461	0.174	0.738	10	9.6	55	13.3	51
Si	1.456	0.381	0.5	20	10.91	66	15.6	87
Si	0.355	0.142	0.509	34	8.664	65	10.7	65
Si	1.04	0.286	0.967	48	15.747	88	12.7	79
Si	0.361	0.185	0.65	10	8.842	57	14.2	52
Si	2.929	0.622	2.738	20	12.6	90	15.1	84
Si	4.01	0.572	2.018	36	18.73	93	10.5	92
Si	0.544	0.177	0.6	15	6.987	77	12.5	75
Si	0.979	0.271	0.968	31	16.88	91	10.7	77
Si	0.497	0.231	0.887	24	9.4	49	17.2	57
No	2.336	1.043	5.438	10	4.752	48	18.4	26
Si	0.831	0.224	0.84	15	5.17	61	16.1	60
No	1.166	0.51	2.074	9	4.938	67	17	51
Si	1.243	0.324	1.129	50	17.163	76	10.1	77
Si	1.47	0.425	1.82	21	11.04	89	13.3	94
Si	1.386	0.32	0.965	28	13.85	84	12.3	85
Si	6.397	1.092	4.298	40	18.7	96	12.5	91
Si	0.979	0.259	1.188	25	10.1	88	12	66
Si	0.244	0.082	1.134	12	11.7	71	27.8	58
Si	0.477	0.204	1.532	29	8.84	58	20.8	56
Si	2.774	0.482	1.763	35	15.8	97	12.3	69
Si	1.154	0.395	2.192	12	10.56	36	14.3	61
Si	0.787	0.363	0.925	21	5.95	67	14.6	53
No	1.66	0.326	1.196	15	4.818	71	12.6	45
Si	0.81	0.356	2.155	6	9.2	65	24.1	100
Si	1.561	0.458	1.548	48	13.38	89	17.8	81
Si	0.9	0.217	0.621	22	4.4	53	10.4	92
No	3.57	0.651	3.39	17	7.352	47	16.1	63
No	2.747	0.724	2.874	12	7.92	74	18.4	62
Si	1.641	0.527	1.663	20	11.2	61	14.2	70
Si	2.013	0.212	0.912	33	5.15	64	10.5	59
No	5.996	3.079	16.269	29	5.925	83	15.9	37
No	2.397	1.525	6.72	22	3.957	66	20	45
Si	4.076	0.738	3.01	25	12.99	86	14.7	80
Si	3.768	0.753	3.558	42	13.592	84	14.2	84
Si	1.891	0.719	2.74	24	11.1	77	11.7	53
Si	3.579	0.868	5.244	25	11.5	94	6.2	65
Si	1.549	0.587	2.269	38	13.24	73	13.8	77
Si	1.286	0.363	1.363	16	13.9	75	14	72
Si	1.756	0.366	1.524	3	12.45	62	12.4	70
No	0.535	0.223	0.959	6	7.32	48	12.6	51
Si	2.939	0.452	1.723	56	15.909	85	11.9	77
Si	0.74	0.177	0.628	12	9.62	49	10.8	59
Si	0.874	0.428	1.605	21	9.858	42	17.6	55
Si	1.004	0.239	0.909	23	10.44	63	11.8	64
Si	2.432	0.563	2.578	20	12.37	92	13.6	79
Si	0.962	0.212	0.83	21	14.7	97	11.3	70
No	3.073	1.547	9.649	9	4.3	57	19	68
Si	0.824	0.337	1.16	15	9.4	37	8.4	59
Si	1.611	0.342	1.089	27	13.85	80	13.2	96
Si	4.731	0.83	3.557	12	10.7	74	17.6	69
Si	5.152	1.685	7.016	36	11.61	86	13.5	77
Si	4.226	2.007	7.703	14	5.094	77	16.6	50
Si	0.499	0.199	0.846	26	11.2	66	6.8	90
No	4.35	0.756	2.997	39	6.49	75	17.6	84
Si	0.478	0.117	0.731	9	11.51	71	10.3	77
Si	0.695	0.239	0.988	21	10.2	63	11.7	68
Si	0.941	0.214	1.247	10	11.39	77	10.6	55
Si	1.464	0.176	0.624	26	11.2	80	11.1	51
Si	0.549	0.169	1.343	26	9.25	52	13.1	61
Si	1.107	0.323	1.452	13	11.04	65	11.8	66
Si	6.411	1.078	4.481	96	20.1	99	10.1	94
No	0.233	0.153	0.658	5	4.486	68	15.7	51
Si	1.002	0.119	0.836	16	7.68	70	17.7	52
Si	0.578	0.187	0.88	25	6.93	57	11	32
Si	0.42	0.093	0.336	11	7.95	54	9.8	48
Si	2.286	0.564	2.943	37	11.985	93	9.2	91
Si	1.557	0.397	1.805	15	9.813	45	16.7	78
Si	0.857	0.376	1.721	25	6.72	77	13.9	82
Si	1.981	0.514	1.927	18	12.5	73	16.8	80
No	1.584	0.891	3.471	6	5.016	48	28.8	59
Si	1.742	0.607	2.258	30	10.3	68	14.1	89
No	9.239	3.29	13.606	35	8.856	81	17.6	85
No	18.114	6.18	26.64	23	10.658	93	14	71
No	2.618	1.032	5.524	42	8.127	82	17	65
Si	0.331	0.225	1.1	15	6.84	33	15.4	49
No	6.011	0.96	5.146	22	7.844	72	16.8	71
Si	0.61	0.189	0.685	26	8.2	63	12	64
Si	1.444	0.456	1.788	29	11.91	60	11.4	75
Si	0.905	0.319	1.073	32	11.32	82	12.7	58
Si	1.217	0.496	1.773	36	11.505	35	16.7	67
Si	0.594	0.307	1.695	36	5.58	77	16.5	61
No	4.255	1.609	10.094	18	9.866	77	15.9	53
No	0.48	0.38	1.673	19	4.386	49	15.8	63
No	1.576	0.913	3.689	13	3.84	52	20.3	100
Si	1.31	0.316	1.057	5	8.55	35	17.4	27
Si	0.601	0.204	0.671	28	13	91	11.6	56
Si	2.707	0.478	1.893	14	12.48	70	14.2	54
No	0.572	0.32	1.47	45	6.073	71	16.4	74
No	3.5	1.779	8.73	15	5.552	75	17.6	37
No	5.22	0.865	6.411	19	3.648	82	21.5	58
Si	0.263	0.103	0.316	10	8.438	42	11.1	15
No	2.442	1.189	5.983	12	4.426	76	18.1	60
Si	1.232	0.303	1.241	23	14.99	86	15.2	74
Si	3.708	0.722	2.852	41	7.05	71	17.8	83
Si	0.586	0.239	0.95	16	10.52	48	13	56
Si	0.882	0.33	0.926	2	4.515	53	18.6	60
Si	1.8	0.526	1.891	47	19.3	79	9	84
Si	0.279	0.126	0.6	17	6.844	45	11.7	44
Si	0.235	0.121	0.931	12	8.95	51	10.7	78
Si	0.368	0.159	0.806	20	10.5	44	11.3	64
Si	0.325	0.095	0.364	16	9.9	32	13.6	21
Si	1.321	0.328	1.243	15	12.85	77	12.8	80
Si	1.17	0.238	1.17	14	7.47	74	15.3	88
Si	0.657	0.113	1.039	37	12.474	53	11.9	72
Si	1.31	0.458	1.365	26	12.25	85	16.7	81
Si	0.51	0.334	1.114	18	7.4	57	19.8	58
Si	2.519	0.462	1.656	30	16.975	76	12.8	83
No	2.225	1.19	5.968	29	4.738	72	20.2	52
Si	1.109	0.375	1.115	24	13.24	73	13.4	73
Si	0.513	0.279	2.508	23	9.09	62	18.3	71
Si	0.947	0.266	1.274	36	10.85	77	13.6	61
No	1.879	0.483	3.311	27	8.832	92	13.5	72
No	0.787	0.233	1.017	40	5.376	99	13.7	34
Si	13.594	2.505	12.408	70	17.748	87	7.8	71
Si	0.872	0.154	0.601	14	10.194	57	11.4	83
Si	2.22	0.467	1.919	65	10.32	68	14.2	65
No	1.563	0.24	1.38	1	5.542	65	14.2	57
No	4.809	1.429	6.162	12	6.806	72	16.7	44
No	10.634	3.176	16.505	39	8.4	92	17.5	62
Si	0.812	0.195	0.646	7	8.242	77	12.7	52
Si	1.127	0.308	1.31	30	11.718	73	16.4	76
No	2.968	1.61	7.368	13	5.834	79	17	42
Si	0.465	0.176	0.879	19	12.58	76	13.1	74
No	6.04	1.62	5.64	36	4.856	69	15.7	76
Si	11.901	2.517	11.16	16	13.38	73	12.9	46
No	5.891	1.973	11.249	23	6.746	78	21.7	41
No	10.706	2.397	14.826	12	7.799	73	17.3	56
No	2.729	1.257	4.787	8	3.735	62	21.7	54
Si	0.616	0.385	1.115	29	9.84	59	14.8	58
Si	0.86	0.366	1.04	22	9.9	68	14.9	68
Si	12.289	1.902	7.45	85	16.404	96	6.8	92
Si	1.743	0.626	1.862	8	14.134	71	13.1	63
Si	0.379	0.107	0.5	15	9.99	44	12.1	33
No	3.041	1.173	6.441	16	9.114	88	19.7	53
Si	4.778	0.678	2.587	50	19.67	77	10.1	83
Si	2.324	0.37	1.686	52	16.56	91	10.5	79
Si	0.792	0.186	0.769	56	12.9	91	13.1	67
Si	2.936	0.669	2.502	35	15.99	73	14.5	83
No	11.023	3.183	14.861	21	7.629	79	20.4	64
Si	2.19	0.458	1.78	36	16.732	93	12.1	75
Si	0.758	0.484	1.707	35	5.39	63	15.1	50
Si	0.776	0.351	1.419	22	6.4	58	16.2	45
No	4.522	2.181	12.83	29	5.336	84	15.3	48
Si	1.496	0.428	1.648	26	12.888	62	13.9	87
Si	0.91	0.45	1.31	31	6.53	63	13.3	65
Si	2.308	0.295	1.202	22	8.53	56	14.9	37
Si	8.256	1.522	5.809	37	11	90	13.8	62
Si	1.603	0.504	2.58	31	13.312	78	11	83
Si	0.94	0.385	1.316	20	11.925	48	12.3	69
Si	0.943	0.288	1.041	41	14.21	76	10.9	42
No	0.944	0.44	2.174	14	6.36	77	15	48
No	19.315	3.45	28.938	48	10.645	77	18.1	63
Si	3.821	0.68	2.488	86	18.2	95	11.6	66
No	0.701	0.458	0.959	10	2.58	48	20.1	44
Si	0.838	0.159	0.654	11	8.64	62	12.2	48
Si	1.538	0.468	1.664	19	11.69	48	12.9	68
Si	0.692	0.174	0.597	19	10.5	58	11.6	39
Si	0.663	0.127	0.641	20	5.64	89	13.2	31
Si	0.404	0.169	0.797	28	6	48	13.4	61
Si	1.133	0.22	0.75	37	17.688	100	10.4	73
Si	0.809	0.428	1.889	20	10.178	71	16.1	54
Si	0.875	0.207	1.173	7	9.7	45	14.5	66
Si	1.132	0.302	1.379	58	16.2	90	10.4	62
No	2.405	1.061	4.564	10	4.29	55	19.4	35
Si	1.082	0.302	1.133	34	11.859	80	13.4	85
Si	13.218	1.153	4.54	90	19.9	91	8.4	99
Si	5.139	0.973	3.717	20	14.4	66	18.4	96
No	21.804	5.874	26.213	29	9.556	86	18.2	67
Si	0.516	0.154	0.63	32	11.02	73	14	58
Si	1.025	0.297	1.07	22	10.1	69	16.3	80
Si	3.712	0.806	2.677	17	12.03	63	12	86
No	5.702	1.742	8.077	15	6.684	73	19.6	62
No	2.088	0.362	2.745	6	4.449	74	17.8	47
Si	1.771	0.306	1.071	21	13.84	77	10.7	74
Si	0.696	0.169	0.653	35	13.97	88	9.2	68
Si	1.966	0.327	1.199	47	19.96	90	11.8	68
Si	0.427	0.143	0.581	18	12.7	81	10.3	84
Si	4.996	0.936	4.291	53	17.475	94	15.4	70
Si	2.302	0.391	1.345	58	15.2	90	10.8	77
Si	3.586	0.73	2.748	16	13.25	84	12.3	70
Si	0.587	0.211	0.735	28	15.2	87	9.4	64
Si	0.484	0.141	0.59	6	9.87	59	12.2	81
Si	2.227	0.437	1.46	27	13.425	85	13	72
Si	0.935	0.345	1.127	22	9.49	60	10.7	79
Si	0.56	0.27	0.743	11	8.734	56	11.3	68
Si	3.304	0.679	2.111	10	12.52	44	16.4	61
Si	1.777	0.382	1.668	31	16.425	81	13.3	90
Si	0.434	0.141	0.624	28	10.95	79	12.9	81
No	3.82	0.695	5.303	21	4.356	76	22.1	51
No	48.094	4.52	21.401	36	7.41	90	19.5	77
No	3.366	0.232	2.585	27	7.411	90	18.6	57
No	5.785	0.499	4.005	26	7.41	90	17.4	58
